[화  5월 18 15:16:59 2021] tgid, 1872, delta_vrun, 122406, delta_rrun, 122406, prio, 120
[화  5월 18 15:16:59 2021] tgid, 1872, delta_vrun, 31801, delta_rrun, 31801, prio, 120
[화  5월 18 15:16:59 2021] tgid, 1872, delta_vrun, 26236, delta_rrun, 26236, prio, 120
[화  5월 18 15:16:59 2021] tgid, 1872, delta_vrun, 97170, delta_rrun, 97170, prio, 120
[화  5월 18 15:16:59 2021] tgid, 1872, delta_vrun, 32320, delta_rrun, 32320, prio, 120
[화  5월 18 15:16:59 2021] tgid, 320, delta_vrun, 701, delta_rrun, 60822, prio, 100
[화  5월 18 15:17:00 2021] tgid, 2209, delta_vrun, 439, delta_rrun, 4094, prio, 110
[화  5월 18 15:17:00 2021] tgid, 869, delta_vrun, 41192, delta_rrun, 44049, prio, 120
[화  5월 18 15:17:00 2021] tgid, 2133, delta_vrun, 39357, delta_rrun, 39357, prio, 120
[화  5월 18 15:17:00 2021] tgid, 2404, delta_vrun, 348979, delta_rrun, 348979, prio, 120
[화  5월 18 15:17:00 2021] tgid, 2404, delta_vrun, 186014, delta_rrun, 3000714, prio, 120
[화  5월 18 15:17:00 2021] tgid, 2405, delta_vrun, 63996, delta_rrun, 1638779, prio, 120
[화  5월 18 15:17:00 2021] tgid, 2406, delta_vrun, 202523, delta_rrun, 884918, prio, 120
[화  5월 18 15:17:00 2021] tgid, 320, delta_vrun, 94, delta_rrun, 8181, prio, 100
[화  5월 18 15:17:00 2021] tgid, 2406, delta_vrun, 32096, delta_rrun, 177093, prio, 120
[화  5월 18 15:17:00 2021] tgid, 2405, delta_vrun, 15467, delta_rrun, 141365, prio, 120
[화  5월 18 15:17:00 2021] tgid, 1872, delta_vrun, 40450, delta_rrun, 40450, prio, 120
[화  5월 18 15:17:00 2021] tgid, 2404, delta_vrun, 23049, delta_rrun, 669838, prio, 120
[화  5월 18 15:17:01 2021] tgid, 1872, delta_vrun, 94115, delta_rrun, 97381, prio, 120
[화  5월 18 15:17:01 2021] tgid, 1206, delta_vrun, 47545, delta_rrun, 47545, prio, 120
[화  5월 18 15:17:02 2021] tgid, 342, delta_vrun, 377, delta_rrun, 32731, prio, 100
[화  5월 18 15:17:03 2021] tgid, 11, delta_vrun, 0, delta_rrun, 50637, prio, 0
[화  5월 18 15:17:03 2021] tgid, 15, delta_vrun, 0, delta_rrun, 32356, prio, 0
[화  5월 18 15:17:03 2021] tgid, 20, delta_vrun, 0, delta_rrun, 11368, prio, 0
[화  5월 18 15:17:03 2021] tgid, 25, delta_vrun, 696, delta_rrun, 7897, prio, 0
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 557874, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 415493, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 37969, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 31721, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 349040, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 41693, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 304273, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 79206, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 42228, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 49356, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 35194, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 32233, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 37186, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 29600, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 55307, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 239237, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 356689, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 309455, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 134466, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 128659, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 427158, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 130255, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 254279, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 333946, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 71826, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 96226, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 74773, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 83701, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 52965, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 100393, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 672646, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 714951, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 53196, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 52011, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 80626, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 71608, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 66817, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 92805, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 86950, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 588634, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 345071, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 317621, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 142121, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 108048, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 1160591, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 123925, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 58464, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 57169, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 198354, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 200179, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 454405, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 231801, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 114988, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 406247, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 381947, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 33749, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 33183, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 320735, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 257760, prio, 94
[화  5월 18 15:17:03 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 467793, prio, 94
[화  5월 18 15:17:04 2021] tgid, 342, delta_vrun, 107, delta_rrun, 9322, prio, 100
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 640201, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 183937, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 170179, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 98228, prio, 94
[화  5월 18 15:17:04 2021] tgid, 320, delta_vrun, 179, delta_rrun, 15533, prio, 100
[화  5월 18 15:17:04 2021] tgid, 320, delta_vrun, 262, delta_rrun, 24171, prio, 100
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 92006, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 113004, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 195969, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 267098, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 64049, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 57395, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 46657, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 46533, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 105264, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 95367, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 86640, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 103020, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 128310, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 80263, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 76354, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 69694, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 68763, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1206, delta_vrun, 69807, delta_rrun, 69807, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 82526, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 68624, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 125020, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 126261, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 84619, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 73661, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1206, delta_vrun, 39826, delta_rrun, 39826, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 114834, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 60327, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 461582, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 594646, prio, 94
