5 21 23:50:00 2021] tgid,315, delta_vrun,916, delta_rrun,79453, prio,100
5 21 23:50:00 2021] tgid,234, delta_vrun,365, delta_rrun,31658, prio,100
5 21 23:50:00 2021] tgid,351, delta_vrun,116, delta_rrun,10060, prio,100
5 21 23:50:00 2021] tgid,234, delta_vrun,443, delta_rrun,41950, prio,100
5 21 23:50:00 2021] tgid,351, delta_vrun,248, delta_rrun,21549, prio,100
5 21 23:50:00 2021] tgid,2146, delta_vrun,105679, delta_rrun,110396, prio,120
5 21 23:50:00 2021] tgid,1378, delta_vrun,13403, delta_rrun,46845, prio,0
5 21 23:50:00 2021] tgid,315, delta_vrun,198, delta_rrun,17192, prio,100
5 21 23:50:01 2021] tgid,234, delta_vrun,871, delta_rrun,75552, prio,100
5 21 23:50:01 2021] tgid,1191, delta_vrun,60527, delta_rrun,60527, prio,120
5 21 23:50:02 2021] tgid,822, delta_vrun,86864, delta_rrun,86864, prio,120
5 21 23:50:02 2021] tgid,1191, delta_vrun,61825, delta_rrun,61825, prio,120
5 21 23:50:03 2021] tgid,11, delta_vrun,0, delta_rrun,23304, prio,0
5 21 23:50:03 2021] tgid,15, delta_vrun,0, delta_rrun,25294, prio,0
5 21 23:50:03 2021] tgid,20, delta_vrun,558, delta_rrun,45225, prio,0
5 21 23:50:03 2021] tgid,25, delta_vrun,508, delta_rrun,23008, prio,0
5 21 23:50:03 2021] tgid,2186, delta_vrun,74063, delta_rrun,74063, prio,120
5 21 23:50:04 2021] tgid,1191, delta_vrun,68334, delta_rrun,68334, prio,120
5 21 23:50:04 2021] tgid,2146, delta_vrun,228598, delta_rrun,228598, prio,120
5 21 23:50:05 2021] tgid,315, delta_vrun,505, delta_rrun,277247, prio,100
5 21 23:50:05 2021] tgid,234, delta_vrun,134, delta_rrun,13530, prio,100
5 21 23:50:05 2021] tgid,234, delta_vrun,1028, delta_rrun,89136, prio,100
5 21 23:50:05 2021] tgid,234, delta_vrun,608, delta_rrun,52772, prio,100
5 21 23:50:05 2021] tgid,315, delta_vrun,747, delta_rrun,64775, prio,100
5 21 23:50:05 2021] tgid,351, delta_vrun,6091, delta_rrun,527981, prio,100
5 21 23:50:05 2021] tgid,315, delta_vrun,172, delta_rrun,17728, prio,100
5 21 23:50:05 2021] tgid,234, delta_vrun,2195, delta_rrun,192952, prio,100
5 21 23:50:05 2021] tgid,315, delta_vrun,143, delta_rrun,12408, prio,100
5 21 23:50:05 2021] tgid,351, delta_vrun,11433, delta_rrun,991038, prio,100
5 21 23:50:06 2021] tgid,315, delta_vrun,696, delta_rrun,60342, prio,100
5 21 23:50:06 2021] tgid,822, delta_vrun,73744, delta_rrun,73744, prio,120
5 21 23:50:07 2021] tgid,11, delta_vrun,0, delta_rrun,19573, prio,0
5 21 23:50:07 2021] tgid,15, delta_vrun,0, delta_rrun,24787, prio,0
5 21 23:50:07 2021] tgid,20, delta_vrun,558, delta_rrun,76180, prio,0
5 21 23:50:07 2021] tgid,25, delta_vrun,508, delta_rrun,17375, prio,0
5 21 23:50:07 2021] tgid,1191, delta_vrun,64044, delta_rrun,64044, prio,120
5 21 23:50:07 2021] tgid,1191, delta_vrun,72007, delta_rrun,72007, prio,120
5 21 23:50:07 2021] tgid,1378, delta_vrun,13403, delta_rrun,20973, prio,0
5 21 23:50:08 2021] tgid,2146, delta_vrun,213600, delta_rrun,213600, prio,120
