[  5 17 21:26:24 2021] tgid,336, delta_vrun,71, delta_rrun,6163, prio,100
[  5 17 21:26:24 2021] tgid,2324, delta_vrun,90370, delta_rrun,90370, prio,120
[  5 17 21:26:24 2021] tgid,2324, delta_vrun,40300, delta_rrun,40300, prio,120
[  5 17 21:26:24 2021] tgid,2729, delta_vrun,1890722, delta_rrun,237391, prio,130
[  5 17 21:26:24 2021] tgid,2729, delta_vrun,168233, delta_rrun,328983, prio,130
[  5 17 21:26:24 2021] tgid,2729, delta_vrun,1242121, delta_rrun,146619, prio,130
[  5 17 21:26:24 2021] tgid,2729, delta_vrun,123438, delta_rrun,148654, prio,130
[  5 17 21:26:24 2021] tgid,962, delta_vrun,35632, delta_rrun,35632, prio,120
[  5 17 21:26:25 2021] tgid,11, delta_vrun,0, delta_rrun,9933, prio,0
[  5 17 21:26:25 2021] tgid,15, delta_vrun,466, delta_rrun,9657, prio,0
[  5 17 21:26:25 2021] tgid,20, delta_vrun,398, delta_rrun,7727, prio,0
[  5 17 21:26:25 2021] tgid,25, delta_vrun,398, delta_rrun,36901, prio,0
[  5 17 21:26:25 2021] tgid,2729, delta_vrun,89665, delta_rrun,9632, prio,130
[  5 17 21:26:26 2021] tgid,336, delta_vrun,538, delta_rrun,46649, prio,100
[  5 17 21:26:26 2021] tgid,336, delta_vrun,59, delta_rrun,5146, prio,100
[  5 17 21:26:26 2021] tgid,2860, delta_vrun,387012, delta_rrun,6242801, prio,120
[  5 17 21:26:26 2021] tgid,2860, delta_vrun,18955, delta_rrun,37438, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,1531591, delta_rrun,1531591, prio,120
[  5 17 21:26:26 2021] tgid,320, delta_vrun,350, delta_rrun,30348, prio,100
[  5 17 21:26:26 2021] tgid,336, delta_vrun,46, delta_rrun,4003, prio,100
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,78467, delta_rrun,78467, prio,120
[  5 17 21:26:26 2021] tgid,320, delta_vrun,106, delta_rrun,9196, prio,100
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,115414, delta_rrun,117667, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,128303, delta_rrun,160404, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,132950, delta_rrun,132950, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,92638, delta_rrun,94800, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,121764, delta_rrun,121764, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,72063, delta_rrun,72063, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,77709, delta_rrun,77709, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,125073, delta_rrun,125073, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,92066, delta_rrun,92066, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,132172, delta_rrun,132172, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,181005, delta_rrun,181005, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,105996, delta_rrun,105996, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,189969, delta_rrun,189969, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,90169, delta_rrun,90169, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,116168, delta_rrun,116168, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,97153, delta_rrun,97153, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,80470, delta_rrun,82341, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,101392, delta_rrun,103981, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,89386, delta_rrun,151495, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,74989, delta_rrun,91472, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,101232, delta_rrun,103628, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,110842, delta_rrun,114495, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,168091, delta_rrun,168091, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,120786, delta_rrun,123810, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,139628, delta_rrun,176011, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,157087, delta_rrun,161770, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,117145, delta_rrun,117145, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,86628, delta_rrun,86628, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,91567, delta_rrun,117966, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,115219, delta_rrun,118731, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,82859, delta_rrun,82859, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,85299, delta_rrun,85299, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,51699, delta_rrun,54010, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,89216, delta_rrun,89216, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,103877, delta_rrun,103877, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,122847, delta_rrun,122847, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,120151, delta_rrun,120151, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,159218, delta_rrun,159218, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,72264, delta_rrun,112341, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,50463, delta_rrun,50463, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,70098, delta_rrun,120654, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,54750, delta_rrun,56612, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,66912, delta_rrun,66912, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,49262, delta_rrun,49262, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,46844, delta_rrun,61229, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,52176, delta_rrun,52176, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,137848, delta_rrun,137848, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,109208, delta_rrun,109208, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,94242, delta_rrun,96682, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,95110, delta_rrun,97722, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,184211, delta_rrun,187572, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,115210, delta_rrun,118751, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,93763, delta_rrun,95952, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,96276, delta_rrun,98309, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,61839, delta_rrun,63569, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,82319, delta_rrun,84819, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,85432, delta_rrun,87804, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,74887, delta_rrun,74887, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,81232, delta_rrun,83803, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,101697, delta_rrun,105160, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,101613, delta_rrun,113749, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,97380, delta_rrun,99846, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,54826, delta_rrun,54826, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,70180, delta_rrun,72122, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,70209, delta_rrun,72296, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,61885, delta_rrun,64040, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,96684, delta_rrun,99628, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,106690, delta_rrun,109630, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,87971, delta_rrun,90258, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,108068, delta_rrun,110828, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,139765, delta_rrun,143527, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,56319, delta_rrun,56319, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,110749, delta_rrun,110749, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,106453, delta_rrun,108938, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,99630, delta_rrun,101866, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,70277, delta_rrun,72268, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,89693, delta_rrun,89693, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,97678, delta_rrun,97678, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,104802, delta_rrun,107160, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,94903, delta_rrun,97284, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,114077, delta_rrun,116725, prio,120
[  5 17 21:26:26 2021] tgid,2861, delta_vrun,126536, delta_rrun,130137, prio,120
